Card,Data da alteração,Objeto alterado,Valor anterior,Valor posterior
113106,2025-07-12,status,In Progress,Done
113106,2025-07-13,status,Done,Canceled
118338,2025-09-15,status,Lista de desejos,Backlog
118338,2025-09-18,status,Backlog,Triage
118338,2025-09-21,status,Triage,For Refinement
118338,2025-09-24,status,For Refinement,In Refinement
118338,2025-09-27,status,In Refinement,In Progress
118338,2025-09-30,status,In Progress,Done
109784,2025-10-12,status,Lista de desejos,Backlog
109784,2025-10-13,status,Backlog,Triage
109784,2025-10-15,status,Triage,For Refinement
109784,2025-10-16,status,For Refinement,In Refinement
109784,2025-10-17,status,In Refinement,In Progress
109784,2025-10-19,status,In Progress,Done
109784,2025-10-20,status,Done,Canceled
110045,2025-04-12,status,Lista de desejos,Backlog
110045,2025-04-24,status,Backlog,Triage
110045,2025-05-05,status,Triage,For Refinement
110045,2025-05-17,status,For Refinement,In Refinement
110671,2025-05-02,status,Lista de desejos,Backlog
110671,2025-05-05,status,Backlog,Triage
110671,2025-05-08,status,Triage,For Refinement
110671,2025-05-12,status,For Refinement,In Refinement
110671,2025-05-15,status,In Refinement,In Progress
110671,2025-05-18,status,In Progress,Done
102774,2025-12-03,status,Lista de desejos,Backlog
102774,2025-12-06,status,Backlog,Triage
102774,2025-12-09,status,Triage,For Refinement
102774,2025-12-11,status,For Refinement,In Refinement
102774,2025-12-14,status,In Refinement,In Progress
102774,2025-12-17,status,In Progress,Done
103208,2025-11-17,status,Lista de desejos,Backlog
103208,2025-11-20,status,Backlog,Triage
103208,2025-11-23,status,Triage,For Refinement
103208,2025-11-26,status,For Refinement,In Refinement
103208,2025-11-29,status,In Refinement,In Progress
103208,2025-12-02,status,In Progress,Done
117725,2025-10-04,status,Lista de desejos,Backlog
117725,2025-10-07,status,Backlog,Triage
117725,2025-10-11,status,Triage,For Refinement
117725,2025-10-15,status,For Refinement,In Refinement
117725,2025-10-19,status,In Refinement,In Progress
117725,2025-10-22,status,In Progress,Done
124888,2025-05-22,status,Lista de desejos,Backlog
124888,2025-05-27,status,Backlog,Triage
124888,2025-05-31,status,Triage,For Refinement
124888,2025-06-04,status,For Refinement,In Refinement
124888,2025-06-08,status,In Refinement,In Progress
124888,2025-06-13,status,In Progress,Done
121091,2025-04-10,status,Lista de desejos,Backlog
121091,2025-04-14,status,Backlog,Triage
121091,2025-04-18,status,Triage,For Refinement
121091,2025-04-22,status,For Refinement,In Refinement
121091,2025-04-26,status,In Refinement,In Progress
121091,2025-04-30,status,In Progress,Done
111355,2025-01-13,status,Lista de desejos,Backlog
111355,2025-01-17,status,Backlog,Triage
111355,2025-01-21,status,Triage,For Refinement
111355,2025-01-25,status,For Refinement,In Refinement
111355,2025-01-29,status,In Refinement,In Progress
111355,2025-02-02,status,In Progress,Done
105659,2025-07-06,status,Lista de desejos,Backlog
105659,2025-07-09,status,Backlog,Triage
105659,2025-07-13,status,Triage,For Refinement
105659,2025-07-17,status,For Refinement,In Refinement
105659,2025-07-21,status,In Refinement,In Progress
105659,2025-07-24,status,In Progress,Done
109609,2025-09-06,status,Lista de desejos,Backlog
109609,2025-09-10,status,Backlog,Triage
109609,2025-09-13,status,Triage,For Refinement
109609,2025-09-17,status,For Refinement,In Refinement
109609,2025-09-21,status,In Refinement,In Progress
109609,2025-09-24,status,In Progress,Done
109609,2025-09-28,status,Done,Canceled
115846,2025-09-24,status,Lista de desejos,Backlog
115846,2025-09-27,status,Backlog,Triage
115846,2025-09-29,status,Triage,For Refinement
115846,2025-10-02,status,For Refinement,In Refinement
115846,2025-10-04,status,In Refinement,In Progress
115846,2025-10-07,status,In Progress,Done
124337,2025-02-10,status,Backlog,Triage
124337,2025-02-12,status,Triage,For Refinement
124337,2025-02-15,status,For Refinement,In Refinement
124337,2025-02-18,status,In Refinement,For Technical Analysis
124337,2025-02-20,status,For Technical Analysis,In Technical Analysis
100692,2025-05-16,status,Lista de desejos,Backlog
100692,2025-05-18,status,Backlog,Triage
100692,2025-05-21,status,Triage,For Refinement
100692,2025-05-24,status,For Refinement,In Refinement
100692,2025-05-27,status,In Refinement,In Progress
100692,2025-05-29,status,In Progress,Done
104232,2025-09-23,status,Backlog,Triage
104232,2025-09-29,status,Triage,For Refinement
104232,2025-10-06,status,For Refinement,In Refinement
104232,2025-10-12,status,In Refinement,For Technical Analysis
104232,2025-10-19,status,For Technical Analysis,In Technical Analysis
104232,2025-10-26,status,In Technical Analysis,Ready for Development
104232,2025-11-01,status,Ready for Development,In Development
105183,2025-06-01,status,Backlog,Triage
105183,2025-06-08,status,Triage,For Refinement
105183,2025-06-15,status,For Refinement,In Refinement
105183,2025-06-22,status,In Refinement,For Technical Analysis
105183,2025-06-30,status,For Technical Analysis,In Technical Analysis
105183,2025-07-07,status,In Technical Analysis,Ready for Development
105183,2025-07-14,status,Ready for Development,In Development
120312,2025-01-09,status,Lista de desejos,Backlog
120312,2025-01-12,status,Backlog,Triage
120312,2025-01-16,status,Triage,For Refinement
120312,2025-01-19,status,For Refinement,In Refinement
120312,2025-01-23,status,In Refinement,In Progress
120312,2025-01-26,status,In Progress,Done
123522,2025-04-17,status,Lista de desejos,Backlog
123522,2025-04-21,status,Backlog,Triage
123522,2025-04-25,status,Triage,For Refinement
123522,2025-04-28,status,For Refinement,In Refinement
123522,2025-05-02,status,In Refinement,In Progress
123522,2025-05-06,status,In Progress,Done
106655,2025-07-18,status,Lista de desejos,Backlog
106655,2025-07-22,status,Backlog,Triage
106655,2025-07-26,status,Triage,For Refinement
106655,2025-07-31,status,For Refinement,In Refinement
106655,2025-08-04,status,In Refinement,In Progress
106655,2025-08-08,status,In Progress,Done
101174,2025-10-17,status,Lista de desejos,Backlog
101174,2025-10-19,status,Backlog,Triage
101174,2025-10-22,status,Triage,For Refinement
101174,2025-10-24,status,For Refinement,In Refinement
101174,2025-10-27,status,In Refinement,In Progress
101174,2025-10-30,status,In Progress,Done
101174,2025-11-01,status,Done,Canceled
121914,2025-02-01,status,Lista de desejos,Backlog
121914,2025-02-04,status,Backlog,Triage
121914,2025-02-08,status,Triage,For Refinement
121914,2025-02-11,status,For Refinement,In Refinement
121914,2025-02-14,status,In Refinement,In Progress
121914,2025-02-18,status,In Progress,Done
121914,2025-02-21,status,Done,Canceled
124585,2025-05-07,status,Lista de desejos,Backlog
124585,2025-05-10,status,Backlog,Triage
124585,2025-05-12,status,Triage,For Refinement
124585,2025-05-14,status,For Refinement,In Refinement
124585,2025-05-16,status,In Refinement,In Progress
124585,2025-05-19,status,In Progress,Done
101365,2025-10-03,status,Backlog,Triage
101881,2025-03-04,status,Lista de desejos,Backlog
101881,2025-03-07,status,Backlog,Triage
101881,2025-03-11,status,Triage,For Refinement
101881,2025-03-15,status,For Refinement,In Refinement
101881,2025-03-19,status,In Refinement,In Progress
101881,2025-03-22,status,In Progress,Done
106561,2025-07-01,status,Backlog,Triage
106561,2025-07-03,status,Triage,For Refinement
106561,2025-07-05,status,For Refinement,In Refinement
106561,2025-07-08,status,In Refinement,For Technical Analysis
106561,2025-07-10,status,For Technical Analysis,In Technical Analysis
106561,2025-07-12,status,In Technical Analysis,Ready for Development
120861,2025-08-02,status,Lista de desejos,Backlog
120861,2025-08-03,status,Backlog,Triage
120861,2025-08-05,status,Triage,For Refinement
120861,2025-08-06,status,For Refinement,In Refinement
120861,2025-08-07,status,In Refinement,In Progress
120861,2025-08-09,status,In Progress,Done
120861,2025-08-10,status,Done,Canceled
111932,2025-01-12,status,Lista de desejos,Backlog
111932,2025-01-16,status,Backlog,Triage
111932,2025-01-20,status,Triage,For Refinement
111932,2025-01-23,status,For Refinement,In Refinement
111932,2025-01-27,status,In Refinement,In Progress
111932,2025-01-31,status,In Progress,Done
122990,2025-11-03,status,Backlog,Triage
122990,2025-11-13,status,Triage,For Refinement
122990,2025-11-22,status,For Refinement,In Refinement
122990,2025-12-02,status,In Refinement,For Technical Analysis
103235,2025-12-08,status,Lista de desejos,Backlog
103235,2025-12-11,status,Backlog,Triage
103235,2025-12-15,status,Triage,For Refinement
103235,2025-12-18,status,For Refinement,In Refinement
103235,2025-12-22,status,In Refinement,In Progress
103235,2025-12-25,status,In Progress,Done
115897,2025-06-13,status,Lista de desejos,Backlog
115897,2025-06-15,status,Backlog,Triage
115897,2025-06-18,status,Triage,For Refinement
115897,2025-06-20,status,For Refinement,In Refinement
115897,2025-06-23,status,In Refinement,In Progress
115897,2025-06-25,status,In Progress,Done
117211,2025-03-24,status,Backlog,Triage
122944,2025-04-08,status,Backlog,Triage
122944,2025-04-09,status,Triage,For Refinement
122944,2025-04-10,status,For Refinement,In Refinement
122944,2025-04-11,status,In Refinement,For Technical Analysis
122944,2025-04-12,status,For Technical Analysis,In Technical Analysis
122944,2025-04-14,status,In Technical Analysis,Ready for Development
122944,2025-04-15,status,Ready for Development,In Development
122944,2025-04-16,status,In Development,For Release
122944,2025-04-17,status,For Release,Waiting Information
122944,2025-04-18,status,Waiting Information,Information Sent
111373,2025-10-23,status,Lista de desejos,Backlog
111373,2025-10-25,status,Backlog,Triage
111373,2025-10-27,status,Triage,For Refinement
111373,2025-10-30,status,For Refinement,In Refinement
111373,2025-11-01,status,In Refinement,In Progress
111373,2025-11-03,status,In Progress,Done
111421,2025-11-15,status,Lista de desejos,Backlog
111421,2025-11-19,status,Backlog,Triage
111421,2025-11-22,status,Triage,For Refinement
111421,2025-11-25,status,For Refinement,In Refinement
111421,2025-11-28,status,In Refinement,In Progress
111421,2025-12-02,status,In Progress,Done
103426,2025-06-12,status,Lista de desejos,Backlog
103426,2025-06-14,status,Backlog,Triage
103426,2025-06-16,status,Triage,For Refinement
103426,2025-06-17,status,For Refinement,In Refinement
103426,2025-06-19,status,In Refinement,In Progress
103426,2025-06-21,status,In Progress,Done
105492,2025-01-28,status,Lista de desejos,Backlog
105492,2025-01-31,status,Backlog,Triage
105492,2025-02-04,status,Triage,For Refinement
105492,2025-02-08,status,For Refinement,In Refinement
105492,2025-02-12,status,In Refinement,In Progress
105492,2025-02-15,status,In Progress,Done
100476,2025-07-16,status,Backlog,Triage
100476,2025-07-18,status,Triage,For Refinement
100476,2025-07-21,status,For Refinement,In Refinement
100476,2025-07-23,status,In Refinement,For Technical Analysis
115445,2025-02-09,status,Lista de desejos,Backlog
115445,2025-02-13,status,Backlog,Triage
115445,2025-02-16,status,Triage,For Refinement
115445,2025-02-19,status,For Refinement,In Refinement
115445,2025-02-22,status,In Refinement,In Progress
115445,2025-02-26,status,In Progress,Done
106383,2025-03-10,status,Lista de desejos,Backlog
106383,2025-03-12,status,Backlog,Triage
106383,2025-03-15,status,Triage,For Refinement
106383,2025-03-18,status,For Refinement,In Refinement
106383,2025-03-21,status,In Refinement,In Progress
106383,2025-03-23,status,In Progress,Done
121003,2025-02-02,status,Lista de desejos,Backlog
121003,2025-02-06,status,Backlog,Triage
121003,2025-02-09,status,Triage,For Refinement
121003,2025-02-13,status,For Refinement,In Refinement
121003,2025-02-16,status,In Refinement,In Progress
121003,2025-02-20,status,In Progress,Done
119293,2025-07-14,status,Lista de desejos,Backlog
119293,2025-07-16,status,Backlog,Triage
119293,2025-07-18,status,Triage,For Refinement
119293,2025-07-19,status,For Refinement,In Refinement
119293,2025-07-21,status,In Refinement,In Progress
119293,2025-07-23,status,In Progress,Done
108007,2025-10-14,status,Backlog,Triage
108007,2025-10-17,status,Triage,For Refinement
108007,2025-10-20,status,For Refinement,In Refinement
108007,2025-10-23,status,In Refinement,For Technical Analysis
108007,2025-10-25,status,For Technical Analysis,In Technical Analysis
108007,2025-10-28,status,In Technical Analysis,Ready for Development
108007,2025-10-31,status,Ready for Development,In Development
112953,2025-08-11,status,Lista de desejos,Backlog
112953,2025-08-14,status,Backlog,Triage
112953,2025-08-16,status,Triage,For Refinement
112953,2025-08-18,status,For Refinement,In Refinement
112953,2025-08-20,status,In Refinement,In Progress
112953,2025-08-23,status,In Progress,Done
115064,2025-05-03,status,Lista de desejos,Backlog
115064,2025-05-05,status,Backlog,Triage
115064,2025-05-07,status,Triage,For Refinement
115064,2025-05-08,status,For Refinement,In Refinement
115064,2025-05-10,status,In Refinement,In Progress
115064,2025-05-12,status,In Progress,Done
124859,2025-05-25,status,Lista de desejos,Backlog
124859,2025-05-27,status,Backlog,Triage
124859,2025-05-29,status,Triage,For Refinement
124859,2025-05-30,status,For Refinement,In Refinement
124859,2025-06-01,status,In Refinement,In Progress
124859,2025-06-03,status,In Progress,Done
106044,2025-09-27,status,Lista de desejos,Backlog
106044,2025-09-30,status,Backlog,Triage
106044,2025-10-02,status,Triage,For Refinement
106044,2025-10-04,status,For Refinement,In Refinement
106044,2025-10-06,status,In Refinement,In Progress
106044,2025-10-09,status,In Progress,Done
105058,2025-11-03,status,Lista de desejos,Backlog
105058,2025-11-04,status,Backlog,Triage
105058,2025-11-06,status,Triage,For Refinement
105058,2025-11-08,status,For Refinement,In Refinement
105058,2025-11-10,status,In Refinement,In Progress
105058,2025-11-11,status,In Progress,Done
112761,2025-05-27,status,Lista de desejos,Backlog
112761,2025-05-29,status,Backlog,Triage
112761,2025-05-30,status,Triage,For Refinement
112761,2025-06-01,status,For Refinement,In Refinement
112761,2025-06-02,status,In Refinement,In Progress
112761,2025-06-04,status,In Progress,Done
111263,2025-08-11,status,Lista de desejos,Backlog
111263,2025-08-14,status,Backlog,Triage
111263,2025-08-18,status,Triage,For Refinement
111263,2025-08-21,status,For Refinement,In Refinement
111263,2025-08-25,status,In Refinement,In Progress
111263,2025-08-28,status,In Progress,Done
118532,2025-06-20,status,Lista de desejos,Backlog
118532,2025-06-23,status,Backlog,Triage
118532,2025-06-27,status,Triage,For Refinement
118532,2025-06-30,status,For Refinement,In Refinement
118532,2025-07-04,status,In Refinement,In Progress
118532,2025-07-07,status,In Progress,Done
105091,2025-06-19,status,Lista de desejos,Backlog
105091,2025-06-22,status,Backlog,Triage
105091,2025-06-26,status,Triage,For Refinement
105091,2025-06-29,status,For Refinement,In Refinement
105091,2025-07-03,status,In Refinement,In Progress
105091,2025-07-06,status,In Progress,Done
101618,2025-07-06,status,Lista de desejos,Backlog
101618,2025-07-09,status,Backlog,Triage
101618,2025-07-11,status,Triage,For Refinement
101618,2025-07-14,status,For Refinement,In Refinement
101618,2025-07-17,status,In Refinement,In Progress
101618,2025-07-19,status,In Progress,Done
101618,2025-07-22,status,Done,Canceled
120607,2025-02-03,status,Lista de desejos,Backlog
120607,2025-02-05,status,Backlog,Triage
120607,2025-02-07,status,Triage,For Refinement
120607,2025-02-09,status,For Refinement,In Refinement
120607,2025-02-11,status,In Refinement,In Progress
120607,2025-02-13,status,In Progress,Done
111515,2025-09-25,status,Lista de desejos,Backlog
111515,2025-09-28,status,Backlog,Triage
111515,2025-10-01,status,Triage,For Refinement
111515,2025-10-05,status,For Refinement,In Refinement
111515,2025-10-08,status,In Refinement,In Progress
111515,2025-10-11,status,In Progress,Done
103453,2025-06-23,status,Backlog,Triage
103453,2025-06-24,status,Triage,For Refinement
103453,2025-06-25,status,For Refinement,In Refinement
103453,2025-06-26,status,In Refinement,For Technical Analysis
103453,2025-06-27,status,For Technical Analysis,In Technical Analysis
103453,2025-06-28,status,In Technical Analysis,Ready for Development
103453,2025-06-29,status,Ready for Development,In Development
103453,2025-06-30,status,In Development,For Release
103453,2025-07-01,status,For Release,Waiting Information
103453,2025-07-02,status,Waiting Information,Information Sent
116345,2025-09-13,status,Lista de desejos,Backlog
116345,2025-09-15,status,Backlog,Triage
116345,2025-09-17,status,Triage,For Refinement
116345,2025-09-20,status,For Refinement,In Refinement
116345,2025-09-22,status,In Refinement,In Progress
116345,2025-09-24,status,In Progress,Done
123502,2025-06-27,status,Backlog,Triage
123502,2025-07-02,status,Triage,For Refinement
123502,2025-07-08,status,For Refinement,In Refinement
123502,2025-07-13,status,In Refinement,For Technical Analysis
123502,2025-07-19,status,For Technical Analysis,In Technical Analysis
123502,2025-07-25,status,In Technical Analysis,Ready for Development
123502,2025-07-30,status,Ready for Development,In Development
100872,2025-07-28,status,Lista de desejos,Backlog
100872,2025-07-31,status,Backlog,Triage
100872,2025-08-03,status,Triage,For Refinement
100872,2025-08-07,status,For Refinement,In Refinement
100872,2025-08-10,status,In Refinement,In Progress
100872,2025-08-13,status,In Progress,Done
110379,2025-08-11,status,Lista de desejos,Backlog
110379,2025-08-12,status,Backlog,Triage
110379,2025-08-14,status,Triage,For Refinement
110379,2025-08-16,status,For Refinement,In Refinement
110379,2025-08-18,status,In Refinement,In Progress
110379,2025-08-19,status,In Progress,Done
116612,2025-03-27,status,Backlog,Triage
116612,2025-03-30,status,Triage,For Refinement
116612,2025-04-02,status,For Refinement,In Refinement
116612,2025-04-06,status,In Refinement,For Technical Analysis
116612,2025-04-09,status,For Technical Analysis,In Technical Analysis
116612,2025-04-12,status,In Technical Analysis,Ready for Development
113879,2025-07-31,status,Lista de desejos,Backlog
113879,2025-08-02,status,Backlog,Triage
113879,2025-08-05,status,Triage,For Refinement
113879,2025-08-07,status,For Refinement,In Refinement
113879,2025-08-09,status,In Refinement,In Progress
113879,2025-08-12,status,In Progress,Done
113879,2025-08-14,status,Done,Canceled
124553,2025-08-10,status,Backlog,Triage
124553,2025-08-21,status,Triage,For Refinement
124553,2025-09-01,status,For Refinement,In Refinement
124553,2025-09-12,status,In Refinement,For Technical Analysis
121153,2025-11-15,status,Lista de desejos,Backlog
121153,2025-11-17,status,Backlog,Triage
121153,2025-11-20,status,Triage,For Refinement
121153,2025-11-23,status,For Refinement,In Refinement
121153,2025-11-26,status,In Refinement,In Progress
121153,2025-11-28,status,In Progress,Done
106207,2025-08-19,status,Backlog,Triage
106207,2025-08-24,status,Triage,For Refinement
106207,2025-08-30,status,For Refinement,In Refinement
106207,2025-09-05,status,In Refinement,For Technical Analysis
106207,2025-09-10,status,For Technical Analysis,In Technical Analysis
106207,2025-09-16,status,In Technical Analysis,Ready for Development
106207,2025-09-22,status,Ready for Development,In Development
106207,2025-09-27,status,In Development,For Release
103439,2025-12-14,status,Lista de desejos,Backlog
103439,2025-12-17,status,Backlog,Triage
103439,2025-12-19,status,Triage,For Refinement
103439,2025-12-22,status,For Refinement,In Refinement
103439,2025-12-24,status,In Refinement,In Progress
103439,2025-12-27,status,In Progress,Done
102361,2025-07-14,status,Lista de desejos,Backlog
102361,2025-07-18,status,Backlog,Triage
102361,2025-07-21,status,Triage,For Refinement
102361,2025-07-25,status,For Refinement,In Refinement
102361,2025-07-28,status,In Refinement,In Progress
102361,2025-08-01,status,In Progress,Done
118827,2025-04-25,status,Backlog,Triage
112970,2025-08-11,status,Lista de desejos,Backlog
112970,2025-08-12,status,Backlog,Triage
112970,2025-08-14,status,Triage,For Refinement
112970,2025-08-15,status,For Refinement,In Refinement
112970,2025-08-17,status,In Refinement,In Progress
112970,2025-08-18,status,In Progress,Done
121420,2025-10-26,status,Backlog,Triage
121420,2025-11-06,status,Triage,For Refinement
121420,2025-11-17,status,For Refinement,In Refinement
112981,2025-03-28,status,Backlog,Triage
110004,2025-12-08,status,Backlog,Triage
110004,2025-12-13,status,Triage,For Refinement
110004,2025-12-17,status,For Refinement,In Refinement
110004,2025-12-22,status,In Refinement,For Technical Analysis
112341,2025-05-29,status,Lista de desejos,Backlog
112341,2025-06-02,status,Backlog,Triage
112341,2025-06-06,status,Triage,For Refinement
112341,2025-06-10,status,For Refinement,In Refinement
112341,2025-06-14,status,In Refinement,In Progress
112341,2025-06-18,status,In Progress,Done
116921,2025-09-23,status,Lista de desejos,Backlog
116921,2025-09-25,status,Backlog,Triage
116921,2025-09-28,status,Triage,For Refinement
116921,2025-10-01,status,For Refinement,In Refinement
116921,2025-10-04,status,In Refinement,In Progress
116921,2025-10-06,status,In Progress,Done
120158,2025-08-03,status,Lista de desejos,Backlog
120158,2025-08-05,status,Backlog,Triage
120158,2025-08-07,status,Triage,For Refinement
120158,2025-08-08,status,For Refinement,In Refinement
120158,2025-08-10,status,In Refinement,In Progress
120158,2025-08-12,status,In Progress,Done
114705,2025-04-06,status,Lista de desejos,Backlog
114705,2025-04-08,status,Backlog,Triage
114705,2025-04-11,status,Triage,For Refinement
114705,2025-04-14,status,For Refinement,In Refinement
114705,2025-04-17,status,In Refinement,In Progress
114705,2025-04-19,status,In Progress,Done
102772,2025-04-24,status,Lista de desejos,Backlog
102772,2025-04-27,status,Backlog,Triage
102772,2025-04-30,status,Triage,For Refinement
102772,2025-05-04,status,For Refinement,In Refinement
102772,2025-05-07,status,In Refinement,In Progress
102772,2025-05-10,status,In Progress,Done
