Data de apontamento,Horas apontadas,Código do colaborador,Card
2025-11-25,2,HBRP,103251
2025-11-25,8,HBRP,122097
2025-11-25,1,HBRP,122488
2025-11-26,6,HBRP,112125
2025-11-27,2,HBRP,116384
2025-11-27,1,HBRP,113967
2025-11-28,4,HBRP,110413
2025-11-29,1,HBRP,101370
2025-11-29,3,HBRP,107870
2025-11-30,3,HBRP,109419
2025-11-30,8,HBRP,103299
2025-12-01,4,HBRP,113685
2025-12-02,5,HBRP,113046
2025-12-02,6,HBRP,102188
2025-12-02,3,HBRP,120240
2025-12-02,2,HBRP,124218
2025-12-03,5,HBRP,110068
2025-12-03,2,HBRP,110472
2025-12-04,5,HBRP,122698
2025-12-05,7,HBRP,104547
2025-12-05,4,HBRP,118961
2025-12-05,2,HBRP,111477
2025-12-05,4,HBRP,123077
2025-12-06,5,HBRP,122303
2025-12-07,1,HBRP,112781
2025-12-08,7,HBRP,120636
2025-12-08,6,HBRP,118686
2025-12-08,2,HBRP,116366
2025-12-09,1,HBRP,121881
2025-12-09,7,HBRP,115907
2025-12-09,8,HBRP,116538
2025-12-10,7,HBRP,106484
2025-12-11,8,HBRP,106620
2025-12-11,3,HBRP,117663
2025-12-11,7,HBRP,118723
2025-12-12,5,HBRP,116084
2025-12-12,8,HBRP,123054
2025-12-13,7,HBRP,123786
2025-12-13,5,HBRP,124939
2025-12-13,6,HBRP,111097
2025-12-13,4,HBRP,111846
2025-12-14,5,HBRP,118363
2025-12-15,4,HBRP,101393
2025-12-15,8,HBRP,111250
2025-12-15,7,HBRP,115215
2025-12-15,6,HBRP,103136
2025-12-16,8,HBRP,108783
2025-12-17,3,HBRP,107638
2025-12-17,8,HBRP,105393
2025-12-17,4,HBRP,110542
2025-12-18,5,HBRP,123396
2025-12-18,6,HBRP,115151
2025-12-18,5,HBRP,122637
2025-12-19,1,HBRP,113134
2025-12-19,4,HBRP,123967
2025-12-19,2,HBRP,107259
2025-12-20,7,HBRP,105592
2025-12-20,8,HBRP,101776
2025-12-21,8,HBRP,115029
2025-12-21,8,HBRP,112097
2025-12-22,1,HBRP,105633
2025-12-22,2,HBRP,104895
2025-12-22,5,HBRP,111950
2025-12-22,4,HBRP,122190
2025-12-23,4,HBRP,101810
2025-12-23,5,HBRP,115323
2025-12-23,6,HBRP,121344
2025-12-23,8,HBRP,105644
2025-12-24,7,HBRP,107841
2025-12-24,6,HBRP,121478
2025-12-24,6,HBRP,116201
2025-12-25,5,HBRP,114086
2025-12-25,5,HBRP,121586
2025-12-25,5,HBRP,107911
2025-12-25,4,HBRP,102243
2025-12-26,4,HBRP,124057
2025-12-27,2,HBRP,119551
2025-12-27,3,HBRP,100398
2025-12-27,4,HBRP,112160
2025-12-28,8,HBRP,107970
2025-12-28,5,HBRP,113756
2025-12-29,2,HBRP,108862
2025-12-29,4,HBRP,102621
2025-12-29,5,HBRP,101246
2025-12-30,6,HBRP,108633
2025-12-30,3,HBRP,102937
2025-12-31,1,HBRP,112066
2025-12-31,3,HBRP,103776
2025-12-31,5,HBRP,112283
2025-07-01,1,OIG8,101176
2025-07-02,3,OIG8,115434
2025-07-02,8,OIG8,104978
2025-07-02,2,OIG8,116421
2025-07-03,5,OIG8,115977
2025-07-04,8,OIG8,118973
2025-07-04,8,OIG8,116493
2025-07-04,6,OIG8,100704
2025-07-04,3,OIG8,104962
2025-07-05,5,OIG8,102238
2025-07-06,2,OIG8,112213
2025-07-06,2,OIG8,106193
2025-07-06,7,OIG8,112958
2025-07-06,8,OIG8,110542
2025-07-07,1,OIG8,124428
2025-07-08,3,OIG8,108899
2025-07-08,5,OIG8,106756
2025-07-09,4,OIG8,122414
2025-07-10,7,OIG8,107379
2025-07-11,7,OIG8,124053
2025-07-11,8,OIG8,115792
2025-07-12,5,OIG8,121516
2025-07-12,7,OIG8,107069
2025-07-12,5,OIG8,123883
2025-07-12,1,OIG8,119494
2025-07-13,4,OIG8,114611
2025-07-14,5,OIG8,115296
2025-07-14,2,OIG8,106088
2025-07-15,4,OIG8,114976
2025-07-15,3,OIG8,103661
2025-07-16,3,OIG8,118453
2025-07-17,7,OIG8,113004
2025-07-18,8,OIG8,102651
2025-07-18,5,OIG8,123918
2025-07-18,1,OIG8,121501
2025-07-18,4,OIG8,102598
2025-07-19,5,OIG8,114789
2025-07-19,8,OIG8,100925
2025-07-19,2,OIG8,118389
2025-07-20,5,OIG8,103024
2025-07-20,4,OIG8,120123
2025-07-21,2,OIG8,106573
2025-07-21,4,OIG8,100854
2025-07-21,3,OIG8,102470
2025-07-21,5,OIG8,104998
2025-07-22,2,OIG8,115309
2025-07-22,1,OIG8,102749
2025-07-23,5,OIG8,105346
2025-07-23,5,OIG8,122803
2025-07-24,2,OIG8,123488
2025-07-24,8,OIG8,119436
2025-07-24,5,OIG8,109010
2025-07-24,7,OIG8,111673
2025-07-25,8,OIG8,115030
2025-07-25,8,OIG8,113038
2025-07-25,2,OIG8,123230
2025-07-26,7,OIG8,102196
2025-07-27,5,OIG8,101526
2025-07-27,1,OIG8,109483
2025-07-27,2,OIG8,106406
2025-07-28,1,OIG8,111284
2025-07-28,5,OIG8,103495
2025-07-29,3,OIG8,112282
2025-07-30,8,OIG8,119779
2025-07-30,5,OIG8,111022
2025-07-30,3,OIG8,100421
2025-07-30,7,OIG8,112354
2025-07-31,2,OIG8,111940
2025-07-31,8,OIG8,116702
2025-07-31,6,OIG8,104590
2025-07-31,7,OIG8,111345
2025-08-01,6,OIG8,110425
2025-08-01,2,OIG8,106585
2025-08-01,3,OIG8,118386
2025-08-02,7,OIG8,115611
2025-08-02,8,OIG8,105133
2025-08-02,5,OIG8,116794
2025-08-03,1,OIG8,115982
2025-08-03,8,OIG8,123390
2025-08-03,2,OIG8,102799
2025-08-03,6,OIG8,121045
2025-08-04,6,OIG8,106571
2025-08-04,2,OIG8,112840
2025-08-04,7,OIG8,120517
2025-08-05,8,OIG8,101748
2025-08-06,1,OIG8,103199
2025-08-06,4,OIG8,117716
2025-08-06,6,OIG8,105795
2025-08-06,8,OIG8,122501
2025-08-07,1,OIG8,119205
2025-08-07,4,OIG8,109075
2025-08-07,5,OIG8,119415
2025-08-07,3,OIG8,100907
2025-08-08,8,OIG8,114007
2025-08-08,8,OIG8,114236
2025-08-08,2,OIG8,108216
2025-08-09,4,OIG8,101339
2025-08-10,5,OIG8,123923
2025-08-10,1,OIG8,104658
2025-08-11,2,OIG8,109472
2025-08-11,4,OIG8,103730
2025-08-11,2,OIG8,108883
2025-08-11,8,OIG8,124107
2025-08-12,3,OIG8,102423
2025-08-13,5,OIG8,118959
2025-08-13,5,OIG8,119646
2025-08-13,7,OIG8,109260
2025-08-13,8,OIG8,124693
2025-08-14,4,OIG8,119860
2025-08-14,8,OIG8,118915
2025-08-14,3,OIG8,123482
2025-08-14,7,OIG8,121976
2025-08-15,3,OIG8,101835
2025-08-15,2,OIG8,102182
2025-08-16,7,OIG8,117705
2025-08-16,6,OIG8,117285
2025-08-16,5,OIG8,117959
2025-08-17,5,OIG8,120747
2025-08-18,8,OIG8,107809
2025-08-18,3,OIG8,112327
2025-08-18,8,OIG8,122432
2025-08-19,6,OIG8,111308
2025-08-19,6,OIG8,114495
2025-08-19,7,OIG8,101438
2025-08-19,8,OIG8,102294
2025-08-20,4,OIG8,106501
2025-08-20,4,OIG8,110362
2025-08-20,7,OIG8,103309
2025-08-21,7,OIG8,101101
2025-08-21,1,OIG8,122449
2025-08-22,8,OIG8,124804
2025-08-22,7,OIG8,105086
2025-08-22,7,OIG8,109152
2025-08-23,8,OIG8,111396
2025-08-23,1,OIG8,101920
2025-08-24,6,OIG8,114830
2025-08-24,2,OIG8,107140
2025-08-25,2,OIG8,116434
2025-08-25,8,OIG8,100273
2025-08-25,1,OIG8,111239
2025-08-25,3,OIG8,117653
2025-08-26,3,OIG8,104998
2025-08-26,2,OIG8,115721
2025-08-26,8,OIG8,100188
2025-08-26,5,OIG8,116361
2025-08-27,7,OIG8,117480
2025-08-27,2,OIG8,105229
2025-08-27,6,OIG8,100419
2025-08-28,6,OIG8,119144
2025-08-28,8,OIG8,120239
2025-08-28,1,OIG8,118535
2025-08-28,2,OIG8,114467
2025-08-29,5,OIG8,107227
2025-08-29,4,OIG8,116736
2025-08-30,7,OIG8,116802
2025-08-31,2,OIG8,118686
2025-09-01,3,OIG8,101832
2025-09-01,5,OIG8,108532
2025-09-01,1,OIG8,103153
2025-09-01,1,OIG8,118344
2025-09-02,1,OIG8,103368
2025-09-02,5,OIG8,117562
2025-09-02,6,OIG8,109240
2025-09-03,7,OIG8,121455
2025-09-03,3,OIG8,112812
2025-09-03,4,OIG8,120493
2025-09-04,3,OIG8,104257
2025-09-04,3,OIG8,117294
2025-09-04,3,OIG8,101910
2025-09-04,2,OIG8,112804
2025-09-05,4,OIG8,122797
2025-09-05,8,OIG8,108180
2025-09-05,3,OIG8,108412
2025-09-05,4,OIG8,105027
2025-09-06,5,OIG8,113086
2025-09-06,8,OIG8,101459
2025-09-06,5,OIG8,107656
2025-09-06,1,OIG8,119385
2025-09-07,5,OIG8,121071
2025-09-07,3,OIG8,122627
2025-09-07,2,OIG8,100285
2025-09-07,8,OIG8,110233
2025-09-08,5,OIG8,116599
2025-09-08,7,OIG8,112314
2025-09-08,5,OIG8,112158
2025-09-09,5,OIG8,113385
2025-09-09,4,OIG8,105295
2025-09-09,7,OIG8,111866
2025-09-09,8,OIG8,111165
2025-09-10,4,OIG8,115819
2025-09-11,6,OIG8,123949
2025-09-11,5,OIG8,112472
2025-09-11,5,OIG8,101132
2025-09-11,1,OIG8,107991
2025-09-12,5,OIG8,118224
2025-09-12,1,OIG8,122634
2025-09-12,1,OIG8,116294
2025-09-12,8,OIG8,120843
2025-09-13,4,OIG8,115328
2025-09-13,6,OIG8,113515
2025-09-13,4,OIG8,115696
2025-09-14,5,OIG8,114986
2025-09-14,3,OIG8,124100
2025-09-15,1,OIG8,124881
2025-09-16,8,OIG8,105245
2025-09-16,1,OIG8,101806
2025-09-16,6,OIG8,111757
2025-09-17,2,OIG8,104412
2025-09-17,5,OIG8,124829
2025-09-18,7,OIG8,124317
2025-09-18,3,OIG8,108246
2025-09-18,4,OIG8,110901
2025-09-19,6,OIG8,111532
2025-09-19,5,OIG8,113200
2025-09-20,5,OIG8,109413
2025-09-20,8,OIG8,108967
2025-09-21,6,OIG8,107257
2025-09-21,2,OIG8,119566
2025-09-21,8,OIG8,105106
2025-09-22,3,OIG8,101739
2025-09-23,7,OIG8,121798
2025-09-23,6,OIG8,123351
2025-09-24,7,OIG8,103114
2025-09-25,5,OIG8,113509
2025-09-26,8,OIG8,104431
2025-09-27,5,OIG8,124313
2025-09-27,7,OIG8,112659
2025-09-27,6,OIG8,117057
2025-09-28,4,OIG8,115202
2025-09-29,1,OIG8,124185
2025-09-29,6,OIG8,124957
2025-09-29,4,OIG8,118760
2025-09-29,2,OIG8,124923
2025-09-30,5,OIG8,115177
2025-09-30,7,OIG8,107283
2025-09-30,2,OIG8,118623
2025-09-30,3,OIG8,122747
2025-10-01,1,OIG8,121789
2025-10-02,8,OIG8,122441
2025-10-02,2,OIG8,105331
2025-10-02,2,OIG8,105029
2025-10-03,3,OIG8,110834
2025-10-03,7,OIG8,116388
2025-10-04,6,OIG8,112685
2025-10-04,7,OIG8,120878
2025-10-04,3,OIG8,111709
2025-10-04,7,OIG8,106558
2025-10-05,8,OIG8,108325
2025-10-06,5,OIG8,115290
2025-10-06,1,OIG8,118571
2025-10-06,6,OIG8,120131
2025-10-06,4,OIG8,101629
2025-10-07,8,OIG8,108359
2025-10-07,4,OIG8,114625
2025-10-07,6,OIG8,105973
2025-10-07,2,OIG8,108626
2025-10-08,6,OIG8,121287
2025-10-08,1,OIG8,104318
2025-10-08,7,OIG8,105089
2025-10-09,4,OIG8,104975
2025-10-09,2,OIG8,103748
2025-10-09,8,OIG8,112620
2025-10-10,4,OIG8,104282
2025-10-11,1,OIG8,110040
2025-10-12,4,OIG8,100730
2025-10-12,3,OIG8,104404
2025-10-12,4,OIG8,116808
2025-10-13,4,OIG8,107013
2025-10-14,4,OIG8,119895
2025-10-14,6,OIG8,119309
2025-10-15,1,OIG8,112784
2025-10-15,5,OIG8,123813
2025-10-16,3,OIG8,117490
2025-10-16,5,OIG8,115175
2025-10-17,2,OIG8,105003
2025-10-17,1,OIG8,123183
2025-10-18,1,OIG8,113791
2025-10-18,6,OIG8,120461
2025-10-19,6,OIG8,112606
2025-10-19,1,OIG8,105592
2025-10-20,5,OIG8,111210
2025-10-20,1,OIG8,120789
2025-10-21,7,OIG8,122792
2025-10-21,2,OIG8,106745
2025-10-22,8,OIG8,120024
2025-10-23,6,OIG8,120490
2025-10-23,2,OIG8,110319
2025-10-23,8,OIG8,116306
2025-10-23,4,OIG8,119562
2025-10-24,5,OIG8,109050
2025-10-25,1,OIG8,107006
2025-10-25,1,OIG8,108711
2025-10-25,8,OIG8,108441
2025-10-25,7,OIG8,120717
2025-10-26,2,OIG8,102273
2025-10-26,8,OIG8,102393
2025-10-26,8,OIG8,120047
2025-10-26,2,OIG8,111975
2025-10-27,6,OIG8,119142
2025-10-28,2,OIG8,112392
2025-10-28,3,OIG8,118924
2025-10-29,6,OIG8,123532
2025-10-29,7,OIG8,104104
2025-10-29,5,OIG8,105458
2025-10-30,7,OIG8,121685
2025-10-30,2,OIG8,117242
2025-10-30,2,OIG8,113181
2025-10-30,4,OIG8,113899
2025-10-31,8,OIG8,122202
2025-10-31,4,OIG8,122282
2025-10-31,7,OIG8,112034
2025-10-31,6,OIG8,117511
2025-11-01,7,OIG8,108094
2025-11-01,7,OIG8,112165
2025-11-01,2,OIG8,111278
2025-11-01,6,OIG8,116984
2025-11-02,6,OIG8,111152
2025-11-02,5,OIG8,124615
2025-11-02,6,OIG8,115549
2025-11-02,3,OIG8,106947
2025-11-03,2,OIG8,106519
2025-11-03,2,OIG8,106852
2025-11-03,2,OIG8,119593
2025-11-03,2,OIG8,105936
2025-11-04,2,OIG8,113777
2025-11-04,6,OIG8,121392
2025-11-04,3,OIG8,100803
2025-11-04,1,OIG8,103739
2025-11-05,2,OIG8,108944
2025-11-05,7,OIG8,100192
2025-11-05,6,OIG8,115063
2025-11-06,1,OIG8,124301
2025-11-06,5,OIG8,124336
2025-11-06,5,OIG8,107335
2025-11-06,6,OIG8,109061
2025-11-07,4,OIG8,113635
2025-11-08,8,OIG8,100945
2025-11-08,4,OIG8,107517
2025-11-09,6,OIG8,102540
2025-11-10,2,OIG8,113634
2025-11-10,5,OIG8,121358
2025-11-10,4,OIG8,112742
2025-11-11,1,OIG8,116802
2025-11-11,5,OIG8,111457
2025-11-11,1,OIG8,104802
2025-11-11,3,OIG8,120594
2025-11-12,5,OIG8,110137
2025-11-12,6,OIG8,104134
2025-11-12,6,OIG8,118007
2025-11-13,3,OIG8,120334
2025-11-14,7,OIG8,102155
2025-11-14,2,OIG8,116382
2025-11-15,1,OIG8,107935
2025-11-15,2,OIG8,121195
2025-11-16,7,OIG8,124052
2025-11-16,7,OIG8,114961
2025-11-17,6,OIG8,124096
2025-11-17,3,OIG8,114926
2025-11-17,6,OIG8,107422
2025-11-17,5,OIG8,113693
2025-11-18,2,OIG8,107189
2025-11-18,1,OIG8,112791
2025-11-18,3,OIG8,110388
2025-11-19,1,OIG8,112600
2025-11-19,2,OIG8,100651
2025-11-20,8,OIG8,104540
2025-11-20,7,OIG8,106185
