ID Card,Tipo de Card,Status,SLA Resposta,SLA Resolução,Equipe,Data de Criação,Data de resolução,Data de reabertura,Data prevista para entrega,Data replanejada para entrega,Horas estimadas do projeto,Data da carga
100538,SUBTASK,Done,,,Equipe 1,2025-02-01,2025-02-21,,2025-02-13,,,2025-02-21
105128,TASK,Done,,,Equipe 20,2025-10-11,2025-10-21,,2025-11-05,,20,2025-10-21
119339,TASK,Done,,,Equipe 3,2025-05-06,2025-05-25,,2025-05-29,,116,2025-05-25
100518,TASK,Done,,,Equipe 1,2025-05-09,2025-05-21,,2025-05-24,,132,2025-05-21
108596,INICIATIVE,Done,,,Equipe 1,2025-07-08,2025-07-23,,2025-08-05,,,2025-07-23
117396,SUBTASK,Canceled,,,Equipe 1,2025-10-18,2025-11-01,,2025-11-01,,,2025-11-01
106780,SUBTASK,Done,,,Equipe 1,2025-05-18,2025-06-07,,2025-06-12,,,2025-06-07
103582,EPIC,Done,,,Equipe 1,2025-01-23,2025-02-22,,2025-02-19,2025-03-12,,2025-02-22
105510,TASK,Done,,,Equipe 1,2025-08-26,2025-09-20,,2025-09-12,,152,2025-09-20
114304,SUBTASK,Done,,,Equipe 1,2025-09-20,2025-09-30,,2025-09-30,,,2025-09-30
111699,BUG,Done,MET,EXCEEDED,Equipe 1,2025-09-25,2025-10-25,,2025-10-25,,160,2025-10-25
120456,TASK,Done,,,Equipe 1,2025-11-20,2025-12-13,,2025-12-09,,48,2025-12-13
124177,SUBTASK,Done,,,Equipe 1,2025-10-18,2025-11-04,,2025-11-05,,,2025-11-04
104834,SUBTASK,Done,,,Equipe 1,2025-08-23,2025-09-16,,2025-09-18,,,2025-09-16
111807,BUG SUBTASK,Done,,,Equipe 1,2025-01-25,2025-02-10,,2025-02-21,,,2025-02-10
109380,INICIATIVE,Done,,,Equipe 1,2025-09-14,2025-10-10,,2025-09-24,,,2025-10-10
103804,EPIC,Canceled,,,Equipe 12,2025-12-06,2026-01-02,,2025-12-23,,,2026-01-02
107929,BUG SUBTASK,Canceled,,,Equipe 1,2025-04-28,2025-05-12,,2025-05-20,,,2025-05-12
119269,SUBTASK,Done,,,Equipe 1,2025-01-29,2025-02-18,,2025-02-19,,,2025-02-18
124342,SUBTASK,Canceled,,,Equipe 1,2025-04-28,2025-05-08,,2025-05-16,,,2025-05-08
112531,BUG,Canceled,MET,EXCEEDED,Equipe 1,2025-01-22,2025-02-04,,2025-02-11,,144,2025-02-04
108340,SUBTASK,Done,,,Equipe 1,2025-06-26,2025-07-06,,2025-07-22,,,2025-07-06
104713,SUBTASK,Done,,,Equipe 1,2025-08-27,2025-09-11,,2025-09-22,2025-10-13,,2025-09-11
114937,SUBTASK,Done,,,Equipe 5,2025-05-16,2025-06-14,,2025-06-15,,,2025-06-14
118469,TASK,Done,,,Equipe 9,2025-02-17,2025-03-09,,2025-02-28,,68,2025-03-09
118572,SUBTASK,Done,,,Equipe 1,2025-09-11,2025-10-09,,2025-09-25,,,2025-10-09
113086,SUBTASK,Done,,,Equipe 1,2025-02-18,2025-03-10,,2025-03-07,,,2025-03-10
116252,EPIC,Done,,,Equipe 1,2025-02-26,2025-03-10,,2025-03-20,,,2025-03-10
116097,SUBTASK,Canceled,,,Equipe 1,2025-07-06,2025-07-31,,2025-07-16,,,2025-07-31
108038,SUBTASK,Done,,,Equipe 1,2025-01-13,2025-02-09,,2025-02-12,,,2025-02-09
109344,TASK,Done,,,Equipe 1,2025-04-18,2025-04-28,,2025-05-09,,120,2025-04-28
107007,BUG,Done,MET,EXCEEDED,Equipe 5,2025-07-10,2025-07-23,,2025-07-25,,116,2025-07-23
121063,BUG SUBTASK,Done,,,Equipe 1,2025-08-03,2025-08-23,,2025-08-23,,,2025-08-23
107258,BUG,Done,EXCEEDED,MET,Equipe 1,2025-06-07,2025-06-23,,2025-07-01,,132,2025-06-23
117596,SUBTASK,Done,,,Equipe 1,2025-09-06,2025-09-23,,2025-10-03,,,2025-09-23
103180,SUBTASK,Done,,,Equipe 5,2025-09-07,2025-09-26,,2025-10-03,,,2025-09-26
113762,BUG,Done,MET,MET,Equipe 1,2025-10-05,2025-10-18,,2025-10-30,,76,2025-10-18
116547,BUG SUBTASK,Done,,,Equipe 3,2025-04-04,2025-04-14,,2025-04-26,,,2025-04-14
111329,BUG SUBTASK,Done,,,Equipe 1,2025-04-24,2025-05-06,,2025-05-18,,,2025-05-06
110286,BUG SUBTASK,Done,,,Equipe 1,2025-01-08,2025-01-23,,2025-01-30,,,2025-01-23
101725,BUG SUBTASK,Canceled,,,Equipe 1,2025-05-24,2025-06-23,,2025-06-03,,,2025-06-23
102539,BUG SUBTASK,Done,,,Equipe 1,2025-08-20,2025-08-31,,2025-09-04,2025-09-20,,2025-08-31
103649,SUBTASK,Canceled,,,Equipe 1,2025-06-16,2025-07-12,,2025-07-10,,,2025-07-12
113485,BUG,Done,MET,MET,Equipe 1,2025-05-11,2025-05-29,,2025-05-28,,48,2025-05-29
103923,BUG SUBTASK,In Development,,,Equipe 1,2025-05-31,,,2025-06-12,2025-07-04,,2025-05-31
114620,EPIC,In Technical Analysis,,,Equipe 3,2025-02-23,,,2025-03-23,,,2025-02-23
119855,SUBTASK,Canceled,,,Equipe 5,2025-12-16,2025-12-30,,2026-01-14,,,2025-12-30
100439,SUBTASK,Done,,,Equipe 1,2025-07-16,2025-07-26,,2025-07-29,,,2025-07-26
118690,TASK,Done,,,Equipe 4,2025-03-14,2025-03-25,,2025-04-05,,48,2025-03-25
109719,BUG,Done,MET,MET,Equipe 2,2025-09-25,2025-10-15,,2025-10-14,,76,2025-10-15
116044,INICIATIVE,Canceled,,,Equipe 1,2025-05-19,2025-05-30,,2025-06-07,,,2025-05-30
119840,BUG SUBTASK,Done,,,Equipe 1,2025-04-06,2025-04-16,,2025-04-25,,,2025-04-16
117661,BUG,Done,MET,MET,Equipe 2,2025-12-18,2026-01-05,,2026-01-12,,100,2026-01-05
117191,BUG,Canceled,MET,MET,Equipe 2,2025-07-17,2025-08-16,,2025-07-31,,52,2025-08-16
120254,BUG SUBTASK,Done,,,Equipe 1,2025-10-09,2025-11-07,,2025-10-28,,,2025-11-07
114391,SUBTASK,Done,,,Equipe 1,2025-09-08,2025-09-29,,2025-09-26,,,2025-09-29
118061,INICIATIVE,Canceled,,,Equipe 2,2025-07-15,2025-08-12,,2025-07-30,,,2025-08-12
112646,TASK,Done,,,Equipe 2,2025-02-20,2025-03-10,,2025-03-03,,148,2025-03-10
122893,EPIC,Done,,,Equipe 4,2025-04-15,2025-04-27,,2025-05-01,,,2025-04-27
113556,EPIC,Canceled,,,Equipe 1,2025-08-30,2025-09-12,,2025-09-20,,,2025-09-12
109093,SUBTASK,Done,,,Equipe 4,2025-05-19,2025-06-13,,2025-05-29,,,2025-06-13
108904,BUG SUBTASK,Done,,,Equipe 1,2025-06-14,2025-07-02,,2025-06-29,,,2025-07-02
112013,BUG SUBTASK,Done,,,Equipe 1,2025-03-08,2025-04-06,,2025-03-21,,,2025-04-06
113954,TASK,Done,,,Equipe 1,2025-05-18,2025-05-30,,2025-06-16,,40,2025-05-30
116438,BUG,Done,MET,MET,Equipe 1,2025-06-16,2025-07-09,,2025-07-02,,160,2025-07-09
107219,BUG SUBTASK,Done,,,Equipe 2,2025-04-06,2025-04-22,,2025-04-19,,,2025-04-22
116406,INICIATIVE,Done,,,Equipe 1,2025-06-23,2025-07-09,,2025-07-06,,,2025-07-09
105259,TASK,Done,,,Equipe 1,2025-06-27,2025-07-10,,2025-07-21,,100,2025-07-10
103255,BUG,Done,MET,MET,Equipe 1,2025-06-13,2025-07-05,,2025-07-01,,68,2025-07-05
119565,EPIC,Done,,,Equipe 1,2025-02-12,2025-03-05,,2025-02-27,,,2025-03-05
119318,TASK,Done,,,Equipe 1,2025-05-18,2025-06-06,,2025-06-03,,160,2025-06-06
114144,SUBTASK,Canceled,,,Equipe 1,2025-01-13,2025-01-25,,2025-02-06,,,2025-01-25
107891,EPIC,Done,,,Equipe 5,2025-07-12,2025-08-05,,2025-07-22,,,2025-08-05
121109,SUBTASK,Done,,,Equipe 1,2025-02-19,2025-03-18,,2025-03-10,,,2025-03-18
123588,TASK,Done,,,Equipe 2,2025-07-15,2025-08-04,,2025-07-25,,60,2025-08-04
122662,TASK,Done,,,Equipe 2,2025-05-07,2025-05-24,,2025-05-18,,100,2025-05-24
113546,BUG SUBTASK,Done,,,Equipe 1,2025-05-19,2025-06-11,,2025-06-16,,,2025-06-11
108083,BUG,Done,MET,MET,Equipe 1,2025-10-29,2025-11-15,,2025-11-14,,60,2025-11-15
111070,BUG SUBTASK,Done,,,Equipe 1,2025-09-08,2025-10-01,,2025-09-18,,,2025-10-01
103768,SUBTASK,Done,,,Equipe 1,2025-06-20,2025-07-20,,2025-07-20,,,2025-07-20
105221,BUG SUBTASK,Done,,,Equipe 1,2025-06-21,2025-07-07,,2025-07-06,,,2025-07-07
119550,BUG SUBTASK,Done,,,Equipe 1,2025-10-01,2025-10-29,,2025-10-24,,,2025-10-29
101839,BUG,Done,MET,MET,Equipe 1,2025-07-29,2025-08-09,,2025-08-16,,24,2025-08-09
113430,SUBTASK,Done,,,Equipe 1,2025-02-05,2025-02-26,,2025-03-04,,,2025-02-26
120261,TASK,Done,,,Equipe 1,2025-03-15,2025-04-08,,2025-04-09,,148,2025-04-08
124304,BUG,Done,EXCEEDED,MET,Equipe 1,2025-05-09,2025-05-27,,2025-05-19,,160,2025-05-27
122226,BUG SUBTASK,Done,,,Equipe 1,2025-05-20,2025-06-03,,2025-06-19,,,2025-06-03
124540,BUG SUBTASK,Done,,,Equipe 1,2025-05-14,2025-06-10,,2025-06-13,,,2025-06-10
120772,INICIATIVE,Done,,,Equipe 5,2025-01-10,2025-01-27,,2025-01-26,,,2025-01-27
119587,TASK,Done,,,Equipe 1,2025-11-03,2025-12-01,,2025-12-03,,8,2025-12-01
110735,TASK,Done,,,Equipe 1,2025-07-13,2025-08-02,,2025-08-01,,8,2025-08-02
107602,SUBTASK,Done,,,Equipe 3,2025-03-16,2025-04-05,,2025-03-27,,,2025-04-05
107852,TASK,Done,,,Equipe 1,2025-07-26,2025-08-07,,2025-08-17,,96,2025-08-07
105451,SUBTASK,Done,,,Equipe 1,2025-07-20,2025-07-30,,2025-08-03,,,2025-07-30
124751,TASK,Done,,,Equipe 1,2025-02-16,2025-03-13,,2025-03-01,,92,2025-03-13
120160,TASK,Done,,,Equipe 1,2025-08-09,2025-09-03,,2025-09-01,,104,2025-09-03
124588,BUG,Done,MET,MET,Equipe 2,2025-02-28,2025-03-13,,2025-03-12,,8,2025-03-13
104978,SUBTASK,Canceled,,,Equipe 1,2025-05-19,2025-06-18,,2025-06-03,,,2025-06-18
110289,SUBTASK,Done,,,Equipe 1,2025-06-17,2025-07-11,,2025-07-15,,,2025-07-11
103416,SUBTASK,Done,,,Equipe 1,2025-09-07,2025-10-04,,2025-09-20,,,2025-10-04
117866,TASK,Done,,,Equipe 1,2025-08-28,2025-09-22,,2025-09-09,,80,2025-09-22
118116,SUBTASK,Done,,,Equipe 1,2025-01-10,2025-02-06,,2025-01-28,,,2025-02-06
118236,BUG SUBTASK,Done,,,Equipe 1,2025-09-10,2025-10-06,,2025-09-22,,,2025-10-06
112191,SUBTASK,Done,,,Equipe 1,2025-09-27,2025-10-19,,2025-10-25,,,2025-10-19
118809,SUBTASK,Done,,,Equipe 10,2025-01-11,2025-01-22,,2025-01-25,2025-02-23,,2025-01-22
113375,SUBTASK,Done,,,Equipe 3,2025-08-07,2025-08-23,,2025-08-21,,,2025-08-23
114474,BUG SUBTASK,Done,,,Equipe 1,2025-03-26,2025-04-10,,2025-04-06,,,2025-04-10
111354,BUG SUBTASK,Done,,,Equipe 1,2025-09-18,2025-10-09,,2025-10-15,,,2025-10-09
116761,SUBTASK,Done,,,Equipe 1,2025-09-25,2025-10-21,,2025-10-22,,,2025-10-21
113234,SUBTASK,Done,,,Equipe 1,2025-08-19,2025-09-05,,2025-09-10,,,2025-09-05
107785,BUG,Done,EXCEEDED,MET,Equipe 4,2025-04-11,2025-04-26,,2025-05-09,,116,2025-04-26
105747,SUBTASK,Done,,,Equipe 1,2025-06-01,2025-06-30,,2025-06-27,,,2025-06-30
123552,BUG SUBTASK,Done,,,Equipe 1,2025-07-21,2025-08-03,,2025-08-15,,,2025-08-03
102864,EPIC,Done,,,Equipe 1,2025-05-17,2025-06-02,,2025-06-14,,,2025-06-02
110908,SUBTASK,Done,,,Equipe 1,2025-09-11,2025-09-27,,2025-09-25,,,2025-09-27
109901,BUG,Done,EXCEEDED,MET,Equipe 5,2025-01-31,2025-02-16,,2025-03-02,,12,2025-02-16
111084,BUG,Information Sent,IN PROGRESS,IN PROGRESS,Equipe 1,2025-09-02,,,2025-09-16,2025-10-03,156,2025-09-02
107209,SUBTASK,Done,,,Equipe 1,2025-12-06,2025-12-26,,2025-12-22,,,2025-12-26
111028,TASK,Done,,,Equipe 1,2025-01-02,2025-01-17,,2025-01-21,,96,2025-01-17
112873,INICIATIVE,Done,,,Equipe 2,2025-11-13,2025-12-11,,2025-12-10,,,2025-12-11
100249,INICIATIVE,Done,,,Equipe 1,2025-03-29,2025-04-15,,2025-04-26,,,2025-04-15
105272,SUBTASK,Done,,,Equipe 1,2025-09-02,2025-09-22,,2025-09-13,,,2025-09-22
112895,TASK,Done,,,Equipe 2,2025-10-09,2025-10-21,,2025-11-03,,132,2025-10-21
124450,BUG SUBTASK,Done,,,Equipe 4,2025-07-18,2025-08-08,,2025-07-31,,,2025-08-08
116888,SUBTASK,Done,,,Equipe 2,2025-08-04,2025-08-31,,2025-08-30,,,2025-08-31
122369,SUBTASK,Done,,,Equipe 1,2025-04-25,2025-05-15,,2025-05-07,,,2025-05-15
114241,SUBTASK,Done,,,Equipe 1,2025-07-18,2025-08-12,,2025-08-16,,,2025-08-12
118063,SUBTASK,Done,,,Equipe 1,2025-10-19,2025-11-16,,2025-11-01,,,2025-11-16
110802,SUBTASK,Done,,,Equipe 7,2025-01-26,2025-02-09,,2025-02-18,,,2025-02-09
112002,SUBTASK,Done,,,Equipe 1,2025-04-02,2025-04-15,,2025-04-29,,,2025-04-15
123769,EPIC,Done,,,Equipe 1,2025-05-27,2025-06-23,,2025-06-16,,,2025-06-23
117683,SUBTASK,Done,,,Equipe 1,2025-09-18,2025-10-15,,2025-09-30,,,2025-10-15
103747,TASK,Done,,,Equipe 1,2025-03-24,2025-04-17,,2025-04-22,,120,2025-04-17
107848,TASK,In Refinement,,,Equipe 1,2025-05-16,,,2025-06-01,,140,2025-05-16
100744,SUBTASK,Done,,,Equipe 1,2025-06-04,2025-07-01,,2025-06-18,,,2025-07-01
113757,INICIATIVE,Done,,,Equipe 1,2025-12-18,2025-12-29,,2026-01-04,,,2025-12-29
112691,EPIC,Done,,,Equipe 1,2025-02-08,2025-02-25,,2025-02-19,,,2025-02-25
103723,SUBTASK,Canceled,,,Equipe 1,2025-12-01,2025-12-31,,2025-12-17,,,2025-12-31
110237,SUBTASK,Done,,,Equipe 1,2025-11-26,2025-12-09,,2025-12-21,,,2025-12-09
103391,EPIC,Done,,,Equipe 1,2025-12-12,2025-12-29,,2025-12-30,,,2025-12-29
105609,BUG,Done,MET,MET,Equipe 1,2025-07-07,2025-07-18,,2025-07-31,,152,2025-07-18
101082,SUBTASK,Done,,,Equipe 2,2025-06-02,2025-06-12,,2025-06-17,,,2025-06-12
102487,TASK,Done,,,Equipe 1,2025-04-25,2025-05-05,,2025-05-13,2025-05-26,84,2025-05-05
122217,BUG SUBTASK,Done,,,Equipe 1,2025-02-22,2025-03-19,,2025-03-19,,,2025-03-19
103173,SUBTASK,Canceled,,,Equipe 1,2025-03-28,2025-04-19,,2025-04-24,2025-05-02,,2025-04-19
112158,BUG,Done,MET,MET,Equipe 2,2025-09-25,2025-10-10,,2025-10-25,,148,2025-10-10
113694,BUG SUBTASK,Done,,,Equipe 1,2025-03-01,2025-03-11,,2025-03-18,,,2025-03-11
110085,TASK,Done,,,Equipe 2,2025-04-30,2025-05-26,,2025-05-26,,12,2025-05-26
107224,TASK,Done,,,Equipe 1,2025-09-10,2025-10-05,,2025-10-07,,128,2025-10-05
124290,TASK,Done,,,Equipe 1,2025-06-04,2025-06-23,,2025-06-27,,108,2025-06-23
124233,TASK,Done,,,Equipe 1,2025-02-07,2025-03-02,,2025-03-05,,160,2025-03-02
103494,SUBTASK,Done,,,Equipe 1,2025-05-27,2025-06-25,,2025-06-21,,,2025-06-25
116166,SUBTASK,Ready for Development,,,Equipe 1,2025-03-28,,,2025-04-14,,,2025-03-28
114260,SUBTASK,Done,,,Equipe 3,2025-08-29,2025-09-09,,2025-09-25,,,2025-09-09
116498,SUBTASK,Done,,,Equipe 1,2025-10-19,2025-10-31,,2025-11-14,2025-12-02,,2025-10-31
109987,INICIATIVE,Done,,,Equipe 1,2025-06-02,2025-06-19,,2025-06-29,,,2025-06-19
122270,TASK,Done,,,Equipe 1,2025-03-24,2025-04-23,,2025-04-19,,16,2025-04-23
113020,SUBTASK,Done,,,Equipe 4,2025-06-30,2025-07-26,,2025-07-27,,,2025-07-26
121234,BUG SUBTASK,Done,,,Equipe 4,2025-08-16,2025-08-27,,2025-09-01,,,2025-08-27
117803,SUBTASK,Done,,,Equipe 11,2025-07-06,2025-07-28,,2025-07-20,,,2025-07-28
109259,TASK,Backlog,,,Equipe 1,2025-03-02,,,2025-03-24,,52,2025-03-02
105079,SUBTASK,Done,,,Equipe 2,2025-09-01,2025-09-29,,2025-09-19,,,2025-09-29
105122,SUBTASK,Done,,,Equipe 1,2025-10-14,2025-11-12,,2025-11-07,,,2025-11-12
106526,SUBTASK,Done,,,Equipe 1,2025-10-12,2025-11-09,,2025-11-06,,,2025-11-09
104357,BUG SUBTASK,Done,,,Equipe 3,2025-08-08,2025-08-28,,2025-09-02,,,2025-08-28
119581,SUBTASK,Canceled,,,Equipe 6,2025-06-09,2025-06-24,,2025-07-04,,,2025-06-24
106181,TASK,Done,,,Equipe 2,2025-09-09,2025-10-04,,2025-10-02,,36,2025-10-04
112109,BUG,Done,MET,MET,Equipe 1,2025-05-05,2025-05-16,,2025-05-31,,136,2025-05-16
109828,SUBTASK,Done,,,Equipe 3,2025-01-13,2025-02-10,,2025-01-31,,,2025-02-10
123548,EPIC,Done,,,Equipe 1,2025-02-16,2025-03-13,,2025-03-05,,,2025-03-13
109817,SUBTASK,Done,,,Equipe 1,2025-06-14,2025-06-25,,2025-07-13,2025-07-20,,2025-06-25
105672,BUG SUBTASK,Canceled,,,Equipe 1,2025-09-18,2025-09-29,,2025-10-14,,,2025-09-29
121119,BUG,Done,EXCEEDED,MET,Equipe 5,2025-09-30,2025-10-18,,2025-10-11,,52,2025-10-18
118199,BUG SUBTASK,Done,,,Equipe 1,2025-05-12,2025-05-25,,2025-05-27,,,2025-05-25
101135,BUG,Done,MET,MET,Equipe 1,2025-10-13,2025-10-25,,2025-11-10,,104,2025-10-25
115441,TASK,Done,,,Equipe 1,2025-12-05,2025-12-28,,2025-12-24,,128,2025-12-28
118204,SUBTASK,Done,,,Equipe 1,2025-07-11,2025-08-01,,2025-08-08,,,2025-08-01
124244,EPIC,Done,,,Equipe 1,2025-05-30,2025-06-13,,2025-06-13,,,2025-06-13
124115,BUG,Done,MET,MET,Equipe 3,2025-04-28,2025-05-09,,2025-05-24,,20,2025-05-09
124805,TASK,Canceled,,,Equipe 2,2025-10-16,2025-11-02,,2025-11-01,,112,2025-11-02
104088,SUBTASK,Done,,,Equipe 2,2025-11-25,2025-12-11,,2025-12-06,,,2025-12-11
122837,TASK,Done,,,Equipe 1,2025-12-06,2025-12-25,,2025-12-23,,76,2025-12-25
124911,BUG SUBTASK,Canceled,,,Equipe 1,2025-09-04,2025-09-19,,2025-09-29,,,2025-09-19
102983,BUG SUBTASK,Done,,,Equipe 1,2025-12-20,2026-01-12,,2026-01-08,,,2026-01-12
115773,INICIATIVE,Done,,,Equipe 1,2025-09-30,2025-10-16,,2025-10-30,,,2025-10-16
108938,BUG,Canceled,MET,MET,Equipe 1,2025-07-21,2025-08-15,,2025-08-18,,12,2025-08-15
120923,INICIATIVE,Done,,,Equipe 2,2025-05-26,2025-06-22,,2025-06-15,,,2025-06-22
100600,SUBTASK,Done,,,Equipe 1,2025-04-01,2025-04-14,,2025-04-23,,,2025-04-14
122374,BUG,Done,MET,MET,Equipe 3,2025-06-29,2025-07-26,,2025-07-22,,44,2025-07-26
102051,BUG,Done,MET,MET,Equipe 1,2025-09-13,2025-10-02,,2025-09-23,,128,2025-10-02
115574,SUBTASK,Done,,,Equipe 2,2025-06-26,2025-07-24,,2025-07-22,2025-08-02,,2025-07-24
102122,SUBTASK,Done,,,Equipe 1,2025-09-11,2025-10-07,,2025-10-02,,,2025-10-07
115657,BUG,Done,MET,MET,Equipe 1,2025-05-14,2025-06-12,,2025-06-06,,160,2025-06-12
105404,SUBTASK,Done,,,Equipe 1,2025-08-11,2025-09-06,,2025-08-21,2025-08-28,,2025-09-06
103294,SUBTASK,Done,,,Equipe 1,2025-09-27,2025-10-19,,2025-10-19,,,2025-10-19
104410,BUG,Done,MET,MET,Equipe 1,2025-12-08,2026-01-04,,2026-01-02,2026-01-07,16,2026-01-04
122435,TASK,Done,,,Equipe 1,2025-04-16,2025-05-10,,2025-04-27,,8,2025-05-10
124167,SUBTASK,Done,,,Equipe 3,2025-06-27,2025-07-26,,2025-07-07,,,2025-07-26
124374,TASK,Done,,,Equipe 1,2025-08-11,2025-09-08,,2025-09-08,2025-09-27,64,2025-09-08
106570,SUBTASK,Done,,,Equipe 8,2025-07-24,2025-08-03,,2025-08-06,,,2025-08-03
115368,SUBTASK,Done,,,Equipe 1,2025-06-23,2025-07-16,,2025-07-03,,,2025-07-16
104288,TASK,Done,,,Equipe 3,2025-08-27,2025-09-11,,2025-09-24,,64,2025-09-11
109641,BUG SUBTASK,Done,,,Equipe 1,2025-09-01,2025-09-30,,2025-09-17,,,2025-09-30
106092,BUG SUBTASK,Done,,,Equipe 1,2025-03-24,2025-04-08,,2025-04-03,,,2025-04-08
121910,TASK,Done,,,Equipe 3,2025-07-06,2025-08-01,,2025-07-21,,124,2025-08-01
114924,SUBTASK,Canceled,,,Equipe 1,2025-08-31,2025-09-12,,2025-09-13,,,2025-09-12
116357,SUBTASK,Done,,,Equipe 1,2025-12-30,2026-01-09,,2026-01-10,,,2026-01-09
113116,SUBTASK,Done,,,Equipe 3,2025-10-23,2025-11-15,,2025-11-17,,,2025-11-15
112007,INICIATIVE,Done,,,Equipe 2,2025-07-25,2025-08-08,,2025-08-21,,,2025-08-08
121571,BUG,Done,MET,MET,Equipe 1,2025-04-21,2025-05-05,,2025-05-11,,64,2025-05-05
121094,BUG SUBTASK,Done,,,Equipe 1,2025-11-16,2025-11-29,,2025-12-13,,,2025-11-29
118430,EPIC,Done,,,Equipe 1,2025-12-06,2025-12-19,,2025-12-26,,,2025-12-19
108480,BUG,Done,EXCEEDED,MET,Equipe 1,2025-04-21,2025-05-13,,2025-05-02,,12,2025-05-13
117876,TASK,Done,,,Equipe 2,2025-08-18,2025-09-07,,2025-09-12,,128,2025-09-07
100771,TASK,Done,,,Equipe 2,2025-06-18,2025-06-29,,2025-07-15,,132,2025-06-29
122231,BUG SUBTASK,Done,,,Equipe 1,2025-02-11,2025-03-03,,2025-03-05,,,2025-03-03
118126,SUBTASK,Done,,,Equipe 1,2025-06-11,2025-06-22,,2025-06-28,,,2025-06-22
106971,BUG SUBTASK,Done,,,Equipe 2,2025-04-06,2025-04-30,,2025-04-20,,,2025-04-30
102087,SUBTASK,Done,,,Equipe 2,2025-08-06,2025-08-19,,2025-09-04,,,2025-08-19
100598,TASK,Done,,,Equipe 1,2025-11-22,2025-12-02,,2025-12-14,,24,2025-12-02
117648,SUBTASK,Done,,,Equipe 1,2025-07-28,2025-08-21,,2025-08-15,,,2025-08-21
114930,SUBTASK,Done,,,Equipe 18,2025-05-11,2025-06-02,,2025-06-03,,,2025-06-02
